id,shop_id,menu_category_id,name,kitchen_name,slug,description,hero_image_path,from_price_minor,sort_order,is_active,allergy_note,dietary_slugs,options_payload
51,3,5,"SOUPE MISO-WAKAME","SOUPE MISOWA",soupe-miso-wakame,"Soupe miso aux algues vertes wakames",01KK8VGGN684ETHFB4TZ3DFKM1.jpg,8000,1,1,,,
3,3,5,"GYOZA GRILLÉS","GYOZA GRILLS",gyoza-grill-s,"Raviolis grillés poulet bœuf légumes.",01KK3GMXA6NJKJYBH8W8SD2Y0A.jpg,12000,2,1,,,
4,3,5,"CROQUETTES (2PIÈCES)","CROQUE 2PICE",croquettes-2-pi-ces,"Croquettes sauce teriyaki.",01KK3GP513VA09MRGYQ6MDTNXB.jpg,8000,3,1,,,
5,3,5,"PAIKO POULET FRIT","PAIKO POULET",paiko-poulet-frit,"Poulet frit sauce japonaise.",paikopoule.jpg,19000,4,1,,,
6,3,5,"CANARD ROSÉ SAUCE TERIYAKI","CANARD ROS S",canard-ros-sauce-teriyaki,"Magret grillé 60g sauce teriyaki.",01KK3GQ609G1KG0RG7A813BRZW.jpg,19000,5,1,,,
10,3,5,"SARDINES MARINÉES NIKKEI","SARDIN MARIN",sardines-marin-es-nikkei,"Sardines marinées sauce japonaise.",01KK3GVA66EQYZER47R69S9Y8V.jpg,14000,6,1,,,
8,3,5,"WAKAME ZESTÉ","WAKAME ZEST",wakame-zest,"Algues, légumes, huile sésame et citron.",wakamezest.jpg,12000,7,1,,,
7,3,5,"HARUSAME & KIKURAGE","HARUSA & KIK",harusame-kikurage,"Vermicelles soja, champignons noirs.",01KK3GR0YKG7HKK7B2WACCM1M3.jpg,14000,8,1,,,
9,3,5,"TOFU CAPRESE (AU NORI)","TOFU CAPRES",tofu-caprese-au-nori,"Tofu mariné, tomate, roquette, nori.",01KK3GTDPN9GE0AJW1RPRVWB5N.jpg,12000,9,1,,,
52,3,4,"DONBURI TOFU VEGGIE (VEGETARIAN TOFU BOWL)","DONBRI TOFU",donburi-tofu-veggie-vegetarian-tofu-bowl-v2,"Bol de riz tofu mariné wakame nori.",01KK3GJ3F8H89J84PDH0CDESAY.jpg,31000,10,1,,,
12,3,1,"RAMEN TOKYO SAUCE SOJA","RMN TOKYO SA",ramen-tokyo-sauce-soja,"Bouillon sauce soja, œuf.",,29000,11,1,,,
13,3,1,"RAMEN SAPPORO MISO SPICY🌶","RMN SAPPOR M",ramen-sapporo-miso-spicy,"Bouillon miso pimenté, œuf.",ramensappo.jpg,29000,12,1,,,
14,3,1,"RAMEN TANTAN SPICY🌶🌶","RMN TANTAN S",ramen-tantan-spicy,"Bouillon sésame miso, bœuf haché.",01KK8TRQTVEWA1C4NAXP0SC3YF.jpg,28000,13,1,,,
